,Name,Extracted_name,Capacity,Conductivity,Coulombic Efficiency,Energy,Voltage,parsed_name,elements_cnt,Capacity_known,Conductivity_known,Coulombic Efficiency_known,Energy_known,Voltage_known,Pd_fraction,S_fraction,Na_fraction,Ru_fraction,Zr_fraction,Cn_fraction,Hg_fraction,Be_fraction,Rb_fraction,Si_fraction,Ra_fraction,Sg_fraction,Sc_fraction,Mn_fraction,Pr_fraction,Cl_fraction,Co_fraction,Br_fraction,Ac_fraction,Ta_fraction,Ni_fraction,Cu_fraction,O_fraction,Al_fraction,Ho_fraction,Th_fraction,Hs_fraction,Tl_fraction,K_fraction,Sm_fraction,Np_fraction,W_fraction,Ga_fraction,In_fraction,Ar_fraction,Yb_fraction,Rh_fraction,Bi_fraction,Eu_fraction,Pb_fraction,Mo_fraction,Er_fraction,Re_fraction,B_fraction,Mg_fraction,Cd_fraction,Cm_fraction,Sr_fraction,Se_fraction,Rf_fraction,Li_fraction,C_fraction,At_fraction,Sn_fraction,Ca_fraction,Nd_fraction,Nb_fraction,Po_fraction,Ti_fraction,Y_fraction,Dy_fraction,F_fraction,Zn_fraction,H_fraction,Pm_fraction,N_fraction,Es_fraction,Hf_fraction,I_fraction,Os_fraction,Pa_fraction,P_fraction,V_fraction,Pu_fraction,Gd_fraction,Tb_fraction,U_fraction,Sb_fraction,Ag_fraction,Ge_fraction,Ce_fraction,Pt_fraction,Te_fraction,Ir_fraction,Cr_fraction,Ba_fraction,Cs_fraction,La_fraction,As_fraction,Am_fraction,Fe_fraction,Au_fraction
14,( 90PEO:10Zn(CF3SO3)2 ) + 5 ZnO,"[{'C': '2.0', 'F': '6.0', 'S': '2.0', 'O': '6.0'}]",,1.8400000000000003e-05,,,,"[{'C': '2.0', 'F': '6.0', 'S': '2.0', 'O': '6.0'}]",1,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"(5,5′-bisphenylethynyl-2,2′-bipyridyl)Re(CO)3Cl","[{'C': '3.0', 'O': '3.0', 'Re': '1.0', 'Cl': '1.0'}]",,,,,1.95,"[{'C': '3.0', 'O': '3.0', 'Re': '1.0', 'Cl': '1.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,(BaCa)(ZrTi)O3,"[{'Ba': '1.0', 'Ca': '1.0', 'Zr': '1.0', 'Ti': '1.0', 'O': '3.0'}]",,,,,3.2,"[{'Ba': '1.0', 'Ca': '1.0', 'Zr': '1.0', 'Ti': '1.0', 'O': '3.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,(BiO)2CO3,"[{'Bi': '2.0', 'O': '5.0', 'C': '1.0'}]",,,37.5,732.8657916666666,,"[{'Bi': '2.0', 'O': '5.0', 'C': '1.0'}]",1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,(BiO)4CO3(OH)2,"[{'Bi': '4.0', 'O': '9.0', 'H': '2.0', 'C': '1.0'}]",210.0,,,,1.1,"[{'Bi': '4.0', 'O': '9.0', 'H': '2.0', 'C': '1.0'}]",1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,(C3N)3AlCl4,"[{'C': '9.0', 'N': '3.0', 'Al': '1.0', 'Cl': '4.0'}]",147.35,,,,,"[{'C': '9.0', 'N': '3.0', 'Al': '1.0', 'Cl': '4.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,(C6H7FN)4(Li)2(P6O18),"[{'C': '24.0', 'H': '28.0', 'F': '4.0', 'N': '4.0', 'Li': '2.0', 'P': '6.0', 'O': '18.0'}]",,0.00017883333333333333,,,,"[{'C': '24.0', 'H': '28.0', 'F': '4.0', 'N': '4.0', 'Li': '2.0', 'P': '6.0', 'O': '18.0'}]",1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,(C6H9C2H4NH3)2PbBr4,"[{'C': '16.0', 'H': '32.0', 'N': '2.0', 'Pb': '1.0', 'Br': '4.0'}]",255.0,,,,,"[{'C': '16.0', 'H': '32.0', 'N': '2.0', 'Pb': '1.0', 'Br': '4.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,(CH2)3SO3Li,"[{'C': '3.0', 'H': '6.0', 'S': '1.0', 'O': '3.0', 'Li': '1.0'}]",100.63333333333333,0.0004,,,,"[{'C': '3.0', 'H': '6.0', 'S': '1.0', 'O': '3.0', 'Li': '1.0'}]",1,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,(CH2)6N4,"[{'C': '6.0', 'H': '12.0', 'N': '4.0'}]",520.0,,,,,"[{'C': '6.0', 'H': '12.0', 'N': '4.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,(CH2OCO2Li)2,"[{'C': '4.0', 'H': '4.0', 'O': '6.0', 'Li': '2.0'}]",750.0,,,699.9999999999999,1.2,"[{'C': '4.0', 'H': '4.0', 'O': '6.0', 'Li': '2.0'}]",1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,(CH3)3SiN(CH3)Si(CH3)3,"[{'C': '7.0', 'H': '21.0', 'Si': '2.0', 'N': '1.0'}]",,,,,4.77,"[{'C': '7.0', 'H': '21.0', 'Si': '2.0', 'N': '1.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,(CH3)3SiN3,"[{'C': '3.0', 'H': '9.0', 'Si': '1.0', 'N': '3.0'}]",983.0,,,,,"[{'C': '3.0', 'H': '9.0', 'Si': '1.0', 'N': '3.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
